Experiment ,Chip ,Condition ,D0 Top,D2 Top,D4 Top,D6 Top,D0 Bottom,D2 Bottom,D4 Bottom,D6 Bottom,D0 IR,D2 IR,D4 IR,D6 IR
20210301,1,D0-D6 Stretched,7324.2,20417.4,34484.4,78996.6,32.4,219.6,750.6,4329,1,2.43,4.92,12.39
20210301,2,D0-D6 Stretched,7612.2,24996.6,37684.8,72948.6,39.6,189,759.6,3398.4,1,1.45,3.87,8.96
20210301,3,D0-D6 Not Stretched,7243.2,19314,39852,73634.4,16.2,54,214.2,700.2,1,1.25,2.4,4.25
20210301,4,D0-D6 Not Stretched,6832.8,16446.6,34482.6,61342.2,10.8,21.6,156.6,435.6,1,0.83,2.87,4.49
20210301,5,"D0-D2 Stretched, D2-D6 Not Stretched",7331.4,22100.4,40975.2,68961.6,18,113.4,325.8,1157.4,1,2.09,3.24,6.84
20210301,6,"D0-D2 Stretched, D2-D6 Not Stretched",7639.2,19269,38822.4,71281.8,27,156.6,432,1492.2,1,2.3,3.15,5.92
20210301,7,"D0-D2 Stretched, D2-D6 Not Stretched",7237.8,23520.6,42530.4,75304.8,16.2,174.6,347.4,1260,1,3.32,3.65,7.48
20210301,8,"D0-D2 Not Stretched, D2-D6 Stretched",7237.8,19654.2,36691.2,70050.6,18,46.8,217.8,1252.8,1,0.96,2.39,7.19
20210301,9,"D0-D2 Not Stretched, D2-D6 Stretched",7167.6,19805.4,39353.4,72606.6,12.6,36,207,1281.6,1,1.03,2.99,10.04
20210301,10,"D0-D2 Not Stretched, D2-D6 Stretched",7191,20493,40478.4,67843.8,10.8,23.4,174.6,894.6,1,0.76,2.87,8.78
20210301,11,"D0-D4 Stretched, D4-D6 Not Stretched",7207.2,22237.2,41689.8,71233.2,16.2,129.6,433.8,1614.6,1,2.59,4.63,10.08
20210301,12,"D0-D4 Stretched, D4-D6 Not Stretched",7380,21011.4,41772.6,70786.8,16.2,99,345.6,1344.6,1,2.15,3.77,8.65
20210408,1,D0-D6 Stretched,9559.8,24476.4,40203,59409,10.8,77.4,230.4,630,1,2.8,5.07,9.39
20210408,2,D0-D6 Stretched,9862.2,27543.6,43250.4,61788.6,10.8,111.6,282.6,783,1,3.7,5.97,11.57
20210408,3,D0-D6 Not Stretched,9592.2,23920.2,35470.8,36444.6,10.8,23.4,48.6,111.6,1,0.87,1.22,2.72
20210408,4,D0-D6 Not Stretched,9972,24777,39382.2,60571.8,10.8,19.8,37.8,120.3,1,0.74,0.89,1.84
20210408,5,"D0-D2 Stretched, D2-D6 Not Stretched",10218.6,27336.6,41839.2,62577,10.8,79.2,108,333,1,2.74,2.44,5.03
20210408,6,"D0-D2 Stretched, D2-D6 Not Stretched",10287,30330,44008.2,76998.6,10.8,64.8,158.4,520.2,1,2.04,3.43,6.44
20210408,7,"D0-D2 Stretched, D2-D6 Not Stretched",9174.6,24505.2,41265,51463.8,10.8,63,117,244.8,1,2.18,2.41,4.04
20210408,8,"D0-D2 Not Stretched, D2-D6 Stretched",9784.8,23545.8,37715.4,49309.2,10.8,30.6,113.4,388.8,1,1.18,2.72,7.14
20210408,9,"D0-D2 Not Stretched, D2-D6 Stretched",9689.4,23891.4,39697.2,50022,10.8,19.8,52.2,390.6,1,0.74,1.18,7.01
20210408,10,"D0-D2 Not Stretched, D2-D6 Stretched",9529.2,23621.4,38129.4,57193.2,10.8,25.2,93.6,361.8,1,0.94,2.17,5.58
20210408,11,"D0-D4 Stretched, D4-D6 Not Stretched",10643.4,26854.2,41936.4,69246,14.4,133.2,262.8,840.6,1,3.67,4.63,8.97
20210408,12,"D0-D4 Stretched, D4-D6 Not Stretched",9901.8,27626.4,47691,71537.4,10.8,63,259.2,666,1,2.09,4.98,8.54